location	specifier	category	basis	reason
apps/api/src/routes/account.test.ts:17	inngest/hono	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/routes/account.test.ts:21	../inngest/client	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/routes/account.test.ts:28	../services/sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/routes/account.test.ts:5	../middleware/jwt	auth/middleware-bypass	heuristic	bypasses auth or ownership middleware in test coverage
apps/api/src/routes/account.test.ts:52	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/routes/account.test.ts:58	../services/account	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/routes/account.test.ts:68	../services/deletion	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/routes/account.test.ts:78	../services/export	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/routes/billing.test.ts:107	../services/stripe	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/routes/billing.test.ts:36	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/routes/billing.test.ts:38	../services/account	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/routes/billing.test.ts:5	../middleware/jwt	auth/middleware-bypass	heuristic	bypasses auth or ownership middleware in test coverage
apps/api/src/routes/billing.test.ts:65	../services/billing	auth/middleware-bypass	heuristic	bypasses quota or metering checks through mocked billing state
apps/api/src/routes/billing.test.ts:92	../services/kv	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/routes/book-suggestions.test.ts:102	../services/llm	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/routes/book-suggestions.test.ts:114	../services/sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/routes/book-suggestions.test.ts:34	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/routes/book-suggestions.test.ts:40	../services/account	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/routes/book-suggestions.test.ts:5	../middleware/jwt	auth/middleware-bypass	heuristic	bypasses auth or ownership middleware in test coverage
apps/api/src/routes/book-suggestions.test.ts:54	../services/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/routes/book-suggestions.test.ts:79	../services/suggestions	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/routes/books.test.ts:113	inngest/hono	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/routes/books.test.ts:117	../inngest/client	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/routes/books.test.ts:25	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/routes/books.test.ts:31	../services/account	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/routes/books.test.ts:41	../services/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
