location	specifier	category	basis	reason
apps/api/src/inngest/functions/account-deletion.test.ts:12	../../services/deletion	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/account-deletion.test.ts:8	../helpers	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/ask-classification-observe.test.ts:12	../client	EXTERNAL	heuristic	mock targets the Inngest client wrapper boundary
apps/api/src/inngest/functions/ask-silent-classify.test.ts:17	../../services/subject-classify	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/inngest/functions/ask-silent-classify.test.ts:21	../helpers	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/ask-silent-classify.test.ts:27	../client	EXTERNAL	heuristic	mock targets the Inngest client wrapper boundary
apps/api/src/inngest/functions/billing-trial-subscription-failed.test.ts:13	../client	EXTERNAL	heuristic	mock targets the Inngest client wrapper boundary
apps/api/src/inngest/functions/book-pre-generation.test.ts:39	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/inngest/functions/book-pre-generation.test.ts:54	../../services/book-generation	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/book-pre-generation.test.ts:66	../../services/curriculum	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/consent-reminders.test.ts:16	../helpers	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/consent-reminders.test.ts:31	../../services/consent	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/consent-reminders.test.ts:37	../../services/notifications	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/consent-reminders.test.ts:45	../../services/deletion	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/consent-revocation.test.ts:14	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/inngest/functions/consent-revocation.test.ts:17	../client	EXTERNAL	heuristic	mock targets the Inngest client wrapper boundary
apps/api/src/inngest/functions/consent-revocation.test.ts:29	../../services/consent	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/consent-revocation.test.ts:34	../../services/deletion	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/consent-revocation.test.ts:39	../../services/notifications	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/consent-revocation.test.ts:45	../../services/settings	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/daily-reminder-send.test.ts:13	../../services/notifications	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/daily-reminder-send.test.ts:21	../../services/settings	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/daily-reminder-send.test.ts:27	../../services/sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/inngest/functions/daily-reminder-send.test.ts:31	../client	EXTERNAL	heuristic	mock targets the Inngest client wrapper boundary
apps/api/src/inngest/functions/daily-reminder-send.test.ts:9	../helpers	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/daily-snapshot.test.ts:36	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/inngest/functions/daily-snapshot.test.ts:40	../../services/snapshot-aggregation	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/daily-snapshot.test.ts:47	../../services/sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/inngest/functions/daily-snapshot.test.ts:51	../helpers	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/exchange-empty-reply-fallback.test.ts:9	../client	EXTERNAL	heuristic	mock targets the Inngest client wrapper boundary
apps/api/src/inngest/functions/feedback-delivery-failed.test.ts:25	../../services/notifications	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/feedback-delivery-failed.test.ts:29	../../services/sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/inngest/functions/feedback-delivery-failed.test.ts:33	../../services/logger	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/inngest/functions/feedback-delivery-failed.test.ts:42	../helpers	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/api/src/inngest/functions/feedback-delivery-failed.test.ts:48	../client	EXTERNAL	heuristic	mock targets the Inngest client wrapper boundary
