"file","line","category","burndownClass","effort","borderline","specifier","mocked","note","verifierNote"
"apps/api/eval-llm/flows/exchanges.test.ts",3,"already-gc1-allow","legit-gc1-allow","none",false,"../runner/llm-client","runHarnessLlm — the eval harness LLM client that makes the network LLM call","Line carries '// gc1-allow: pattern-a conversion'. The mocked target runHarnessLlm is the harness wrapper over the LLM network client — a genuine external boundary. requireActual + single override of just the LLM-call export. gc1-allow is legitimate: the real call makes a network LLM request that cannot run in unit tests.","Re-categorized external-boundary -> already-gc1-allow. Rule 2 takes precedence: the line literally carries a '// gc1-allow:' comment, so category must be already-gc1-allow. Underlying intent is still the LLM boundary, so burndownClass=legit-gc1-allow, effort=none — agrees with colleague's not-backlog judgment."
"apps/api/src/inngest/functions/archive-cleanup.test.ts",6,"already-gc1-allow","legit-gc1-allow","none",false,"../client","Inngest client send transport (via createInngestTransportCapture)","Line carries '// gc1-allow: pattern-a conversion'. Mocks the Inngest framework client to capture send() dispatches; requireActual preserves everything else. The Inngest send transport is a sanctioned framework boundary, so the gc1-allow is legitimate.","Re-categorized external-boundary -> already-gc1-allow because the line carries a '// gc1-allow:' comment (rule 2 precedence). Boundary judgment unchanged: legit-gc1-allow, effort none."
"apps/api/src/inngest/functions/archive-cleanup.test.ts",16,"already-gc1-allow","trivial-requireActual","S",false,"../../services/consent","getConsentStatus, getProfileForConsentRevocation","Line carries '// gc1-allow: pattern-a conversion'. Internal consent service, already requireActual + two targeted overrides — the canonical archive-cleanup pattern. consent imports @eduagent/database, but the mocked functions take an injected db and the module imports fine in tests. The gc1-allow is a convenience excuse here: this is exactly the requireActual+override target state, not a case where the real code cannot run at import time. Burn-down target.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). burndownClass=trivial-requireActual retained, and per rule 2 the stated reason is judged a convenience excuse rather than a genuine cannot-run case."
"apps/api/src/inngest/functions/archive-cleanup.test.ts",32,"already-gc1-allow","needs-wiring","M",true,"../../services/deletion","deleteProfile","Line carries '// gc1-allow: pattern-a conversion'. Internal deletion service; requireActual + override of deleteProfile. The module imports cleanly (drizzle + @eduagent/database types), but deleteProfile performs real cross-table DB destruction; exercising the real impl needs a seeded test DB and would delete fixture rows. gc1-allow is defensible-but-burndown: convertible only with DB fixtures.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). needs-wiring/M retained — confirmed deleteProfile is a DB-destructive operation requiring real wiring."
"apps/api/src/inngest/functions/ask-classification-observe.test.ts",6,"already-gc1-allow","trivial-requireActual","S",true,"../../services/sentry","captureException","Line carries '// gc1-allow: pattern-a conversion'. Internal services/sentry wrapper (thin wrapper over @sentry/cloudflare that no-ops without a DSN), NOT the @sentry SDK boundary. Already requireActual + single override. The real wrapper runs fine in tests, so gc1-allow is a convenience excuse; convert to requireActual + spy on captureException. Burn-down target.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). Confirmed by reading services/sentry.ts: thin pure wrapper, no DB/network at import — gc1-allow reason judged convenience, trivial-requireActual retained."
"apps/api/src/inngest/functions/ask-classification-observe.test.ts",26,"already-gc1-allow","legit-gc1-allow","none",false,"../client","Inngest client send transport (via createInngestTransportCapture)","Line carries '// gc1-allow: pattern-a conversion'. Mocks the Inngest framework client to capture send() dispatches; requireActual preserves the rest. Sanctioned Inngest framework boundary, so the gc1-allow is legitimate.","Re-categorized external-boundary -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). Boundary judgment unchanged: legit-gc1-allow, effort none."
"apps/api/src/inngest/functions/ask-silent-classify.test.ts",17,"already-gc1-allow","trivial-requireActual","S",true,"../../services/subject-classify","classifySubject","Line carries '// gc1-allow: pattern-a conversion'. Internal subject-classify service; requireActual + single override of classifySubject. The real classifySubject calls the LLM under the hood (routeAndCall) and takes an injected db, but the module imports fine; only the one export is overridden. The actual LLM call is reachable via the LLM-router boundary mock, so this internal wrapper override is convertible. gc1-allow judged convenience. Burn-down target.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). Confirmed subject-classify imports routeAndCall + takes injected Database; trivial-requireActual retained, gc1-allow reason judged convenience."
"apps/api/src/inngest/functions/ask-silent-classify.test.ts",30,"already-gc1-allow","needs-wiring","M",false,"../helpers","getStepDatabase","Line carries '// gc1-allow: pattern-a conversion'. Internal inngest helpers; requireActual + override of getStepDatabase to inject a fake db handle. Confirmed helpers.ts imports @eduagent/database createDatabase/closeDatabase, so the real getStepDatabase opens a Neon connection. gc1-allow is defensible (the real DB connection cannot run in unit tests) but it remains a burn-down target — convertible only with a real/seeded test DB.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). needs-wiring/M retained — verified helpers.ts pulls @eduagent/database; the DB boundary justifies the gc1-allow but does not exempt it from backlog."
"apps/api/src/inngest/functions/ask-silent-classify.test.ts",45,"already-gc1-allow","legit-gc1-allow","none",false,"../client","Inngest client send transport (via createInngestTransportCapture)","Line carries '// gc1-allow: pattern-a conversion'. Mocks the Inngest framework client to capture sendEvent dispatches; requireActual preserves the rest. Sanctioned Inngest framework boundary, gc1-allow legitimate.","Re-categorized external-boundary -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). Boundary judgment unchanged: legit-gc1-allow, effort none."
"apps/api/src/inngest/functions/auto-file-session.test.ts",19,"already-gc1-allow","needs-wiring","M",false,"../helpers","getStepDatabase","Line carries '// gc1-allow: Inngest step DB boundary'. Internal inngest helpers; requireActual + override of getStepDatabase returning a fake db ({kind:'db'}). The real helper opens a Neon connection via @eduagent/database. gc1-allow is defensible (DB boundary cannot run in unit tests) but remains a burn-down target — convert with a real test DB.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). needs-wiring/M retained."
"apps/api/src/inngest/functions/auto-file-session.test.ts",29,"already-gc1-allow","needs-wiring","L",false,"../../services/session","claimSessionForAutoFiling, markSessionAutoFiled, markSessionAutoFilingFailed, getSessionTranscript","Line carries '// gc1-allow: service boundary'. Internal session service, full-replacement factory mock (NO requireActual) standing in for four DB-backed session-state functions (claim race, transcript read, status writes). Real impls need a seeded sessions table plus row-level race fixtures. The gc1-allow is a convenience excuse — these are the project's own orchestration services, not a true external boundary — but exercising them is genuinely L (DB fixtures + race-condition seeding).","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). needs-wiring/L retained — full-replacement factory with no requireActual, DB-backed, large to wire."
"apps/api/src/inngest/functions/auto-file-session.test.ts",40,"already-gc1-allow","needs-wiring","L",false,"../../services/filing","buildLibraryIndex, fileToLibrary, resolveFilingResult","Line carries '// gc1-allow: LLM filing boundary'. Internal filing service, full-replacement factory mock (no requireActual). filing imports drizzle + @eduagent/database; resolveFilingResult does DB writes and the flow is LLM-backed. The genuine LLM call IS a boundary (mocked separately at line 53), but these are the project's own orchestration services; exercising them needs DB fixtures + library-index seeding. The 'LLM filing boundary' label is partly a convenience excuse, but converting is genuinely L.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). Confirmed filing imports @eduagent/database; needs-wiring/L retained."
"apps/api/src/inngest/functions/auto-file-session.test.ts",46,"already-gc1-allow","needs-wiring","M",false,"../../services/curriculum","deleteTopicIfSafe","Line carries '// gc1-allow: cleanup boundary'. Internal curriculum service, full-replacement factory mock (no requireActual) for deleteTopicIfSafe, a DB-mutating cleanup (curriculum imports drizzle + @eduagent/database). Converting to real needs a seeded curriculum_topics graph and safety-check rows. gc1-allow defensible but a burn-down target, M.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). needs-wiring/M retained — confirmed curriculum is DB-backed."
"apps/api/src/inngest/functions/auto-file-session.test.ts",53,"already-gc1-allow","legit-gc1-allow","none",false,"../../services/llm","routeAndCall","Line carries '// gc1-allow: LLM router boundary'. routeAndCall is the LLM router/client that makes the network LLM call — explicitly sanctioned in CLAUDE.md as an external-boundary mock even via relative path. The gc1-allow is legitimate; not backlog.","Re-categorized external-boundary -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). Boundary judgment unchanged: legit-gc1-allow, effort none."
"apps/api/src/inngest/functions/auto-file-session.test.ts",57,"already-gc1-allow","trivial-requireActual","S",false,"../../services/logger","createLogger (warn/error sinks)","Line carries '// gc1-allow: logger observability boundary'. Internal logger module, full-replacement factory mock stubbing createLogger to capture warn/error. Confirmed logger.ts is pure console/JSON.stringify with no Node deps — the real logger runs fine in tests. gc1-allow is a convenience excuse; convert to requireActual + spy on the real logger sinks. Burn-down target.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). Confirmed by reading logger.ts: pure console wrapper, runs fine in tests — gc1-allow judged convenience, trivial-requireActual retained."
"apps/api/src/inngest/functions/auto-file-session.test.ts",69,"already-gc1-allow","trivial-requireActual","S",true,"../../services/sentry","captureException","Line carries '// gc1-allow: Sentry observability boundary'. Internal services/sentry wrapper (thin wrapper over @sentry/cloudflare, no-ops without DSN), NOT the @sentry SDK boundary. Full-replacement factory mock for captureException. The wrapper runs fine in tests; convert to requireActual + spy. gc1-allow judged convenience. Burn-down target.","Re-categorized internal-violation -> already-gc1-allow (line carries '// gc1-allow:'; rule 2 precedence). Confirmed services/sentry.ts is a thin pure wrapper — gc1-allow reason judged convenience, trivial-requireActual retained."
"apps/api/src/inngest/functions/book-pre-generation.test.ts",41,"already-gc1-allow","needs-wiring","M",false,"@eduagent/database","the whole database package — replaced with a fabricated mockDb (chainable select + query.findFirst stubs)","Carries gc1-allow 'database package boundary'. @eduagent/* is internal per the rules, not an external boundary — so this is GC6 backlog, not a sanctioned escape. The factory fabricates the entire drizzle surface (select chain, query.findFirst per table); converting to the real package needs a seeded test DB. gc1-allow reason is a convenience excuse (the DB module CAN run with a real test DB); legitimate burn-down path is real DB wiring, hence needs-wiring.",""
"apps/api/src/inngest/functions/book-pre-generation.test.ts",56,"already-gc1-allow","trivial-requireActual","S",false,"../../services/book-generation","generateBookTopics only (requireActual + single named override)","Internal service module, but the override exists solely to prevent the real LLM network call inside generateBookTopics. Already uses jest.requireActual with one targeted override — the canonical pattern-a shape. The LLM call underneath is the true boundary; this stub stands in for it legitimately. Effort to formalize is minimal; treat as effectively converted.",""
