location	specifier	category	basis	reason
apps/mobile/src/hooks/use-account.test.ts:11	../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/hooks/use-active-profile-role.test.ts:10	./use-parent-proxy	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/hooks/use-active-profile-role.test.ts:6	../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/hooks/use-all-books.test.ts:12	../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/hooks/use-all-books.test.ts:31	../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/hooks/use-api-reachability.test.ts:5	../lib/api	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/hooks/use-assessments.test.ts:11	../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/hooks/use-assessments.test.ts:18	../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/hooks/use-books.test.ts:15	../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/hooks/use-books.test.ts:34	../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/hooks/use-classify-subject.test.ts:7	../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/hooks/use-consent.test.ts:15	../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/hooks/use-consent.test.ts:22	../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/hooks/use-curriculum.test.ts:14	../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/hooks/use-curriculum.test.ts:33	../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/hooks/use-dashboard.test.ts:11	../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/hooks/use-dashboard.test.ts:30	../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/hooks/use-dictation-api.test.ts:22	../lib/assert-ok	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/hooks/use-dictation-api.test.ts:9	../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
