location	specifier	category	basis	reason
apps/mobile/src/app/(app)/_layout.test.tsx:112	../../hooks/use-revenuecat	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/app/(app)/_layout.test.tsx:116	../../lib/sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/_layout.test.tsx:124	../../lib/secure-storage	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/_layout.test.tsx:131	../../components/feedback/FeedbackProvider	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/app/(app)/_layout.test.tsx:20	../../lib/api-client	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/_layout.test.tsx:37	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/_layout.test.tsx:47	react-native-safe-area-context	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/_layout.test.tsx:51	@expo/vector-icons	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/_layout.test.tsx:55	@clerk/clerk-expo	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/_layout.test.tsx:65	expo-notifications	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/_layout.test.tsx:81	expo-speech-recognition	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/_layout.test.tsx:88	../../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/app/(app)/_layout.test.tsx:96	../../lib/theme	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/app/(app)/child/[profileId]/_layout.test.tsx:18	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/_layout.test.tsx:30	../../../../lib/theme	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:102	../../../../hooks/use-consent	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:116	../../../../hooks/use-learner-profile	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:127	../../../../components/progress	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:134	../../../../components/parent/SamplePreview	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:22	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:3	react-i18next	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:32	react-native-safe-area-context	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:36	../../../../lib/navigation	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:40	../../../../lib/platform-alert	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:48	../../../../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:61	../../../../hooks/use-dashboard	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:74	../../../../hooks/use-progress	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:85	../../../../hooks/use-celebration	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/app/(app)/child/[profileId]/index.test.tsx:89	../../../../hooks/use-celebrations	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
apps/mobile/src/app/(app)/child/[profileId]/reports.test.tsx:18	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/reports.test.tsx:28	react-native-safe-area-context	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/reports.test.tsx:3	react-i18next	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/reports.test.tsx:33	../../../../hooks/use-dashboard	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/child/[profileId]/reports.test.tsx:39	../../../../hooks/use-progress	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/child/[profileId]/reports.test.tsx:45	../../../../lib/navigation	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/app/(app)/child/[profileId]/session/[sessionId].test.tsx:21	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/session/[sessionId].test.tsx:33	react-native-safe-area-context	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/session/[sessionId].test.tsx:37	@expo/vector-icons	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/session/[sessionId].test.tsx:48	../../../../../hooks/use-dashboard	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/child/[profileId]/session/[sessionId].test.tsx:53	expo-clipboard	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/session/[sessionId].test.tsx:9	react-i18next	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/subjects/[subjectId].test.tsx:19	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/subjects/[subjectId].test.tsx:24	react-native-safe-area-context	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/subjects/[subjectId].test.tsx:28	../../../../../hooks/use-dashboard	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/child/[profileId]/subjects/[subjectId].test.tsx:3	react-i18next	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/subjects/[subjectId].test.tsx:33	../../../../../hooks/use-progress	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/child/[profileId]/topic/[topicId].test.tsx:17	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/topic/[topicId].test.tsx:22	react-native-safe-area-context	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/topic/[topicId].test.tsx:26	../../../../../hooks/use-dashboard	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/app/(app)/child/[profileId]/topic/[topicId].test.tsx:3	react-i18next	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/weekly-report/[weeklyReportId].test.tsx:19	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/weekly-report/[weeklyReportId].test.tsx:3	react-i18next	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/weekly-report/[weeklyReportId].test.tsx:32	react-native-safe-area-context	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/weekly-report/[weeklyReportId].test.tsx:36	@sentry/react-native	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/app/(app)/child/[profileId]/weekly-report/[weeklyReportId].test.tsx:40	../../../../../lib/navigation	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
