location	specifier	category	basis	reason
apps/mobile/src/components/account-security.test.tsx:12	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/components/account-security.test.tsx:7	@clerk/clerk-expo	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/components/change-password.test.tsx:14	@clerk/clerk-expo	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/components/change-password.test.tsx:25	expo-router	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/components/change-password.test.tsx:29	../lib/theme	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/components/common/CelebrationAnimation.test.tsx:12	react-native-reanimated	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/components/common/celebrations/CelestialCelebration.test.tsx:16	react-native-reanimated	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/components/common/OfflineBanner.test.tsx:4	react-native-safe-area-context	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/components/common/OfflineBanner.test.tsx:8	../../lib/theme	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/components/common/PasswordInput.test.tsx:4	../../lib/theme	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/components/durability/OutboxFailedBanner.test.tsx:15	../../lib/message-outbox	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/components/durability/OutboxFailedBanner.test.tsx:19	expo-clipboard	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/mobile/src/components/home/CoachBand.test.tsx:4	../../lib/theme	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/components/home/EarlyAdopterCard.test.tsx:14	../../lib/profile	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/mobile/src/components/home/EarlyAdopterCard.test.tsx:18	../../lib/secure-storage	service-stub-with-business-logic	heuristic	mobile test mock replaces app-level hook or client logic
apps/mobile/src/components/home/EarlyAdopterCard.test.tsx:23	../feedback/FeedbackProvider	pure-data-stub	heuristic	relative mock defaults to an internal fixture stub unless overridden
