"id","file","claimedLine","status","actualLocation","finding","evidence","note"
"C1","apps/mobile/src/app/(app)/_layout.tsx","2093-2109","changed","159-161 (contract source); 612-657 + 659-678 (tab-bar composition via visibleTabs.has / homeTabPresentation)","","const navigationShell = useNavigationShellContract();
const visibleTabs = navigationShell.visibleTabs; const homeTabPresentation = navigationShell.homeTabPresentation;","Claimed lines 2093-2109 are far past EOF (file is 771 lines). The gate still exists and still composes the tab bar, but its implementation changed from the matrix description. The description says it reads `tabShape, visibleTabs, homeTabPresentation` directly; today `tabShape` is NOT read at this site, and `visibleTabs`/`homeTabPresentation` are now obtained from `useNavigationShellContract()` (imported line 32, called line 159) off the returned `navigationShell` object (lines 160-161). Tab-bar composition is the whitelist `screenOptions` block at lines 612-657 (`const isVisible = visibleTabs.has(route.name)` at 614) plus the home `Tabs.Screen` using `homeTabPresentation` at 659-678. F11's predicted ""replaced by useNavigationContract()"" is borne out: the contract hook is `useNavigationShellContract` (the renamed/shell form). Classifying as ""changed"" rather than ""moved"" because the read symbols and data source differ from the description, not merely the line number."
"C2","apps/mobile/src/app/(app)/_layout.tsx","1581","changed","556-565 (gate render); set membership at 557-558; PENDING_CONSENT_STATUSES defined in apps/mobile/src/app/(app)/_lib/consent-gate-helpers.ts:4-6","","activeProfile?.consentStatus &&
    PENDING_CONSENT_STATUSES.has(activeProfile.consentStatus)","File is 771 lines, so claimed line 1581 is well past EOF (drift confirmed). The shell-level consent gate still exists and still intercepts before tab rendering, returning a full-screen <ConsentPendingGate /> — same intent as described. BUT the predicate changed: it no longer reads `consentStatus === 'PARENTAL_CONSENT_REQUESTED'` directly. It now uses `PENDING_CONSENT_STATUSES.has(activeProfile.consentStatus)` (a Set extracted to _lib/consent-gate-helpers.ts). That Set includes 'PARENTAL_CONSENT_REQUESTED' (line 6 of the helper) plus other pending statuses, so PARENTAL_CONSENT_REQUESTED is still covered, but via set membership rather than a literal equality check. Also note a sibling WITHDRAWN gate at 568-574 and a post-approval landing at 577-583. Classifying as ""changed"" because the reads/symbols differ from the row description (contract/set-based, not literal ===), even though the gated behavior is preserved."
"C3","apps/mobile/src/app/(app)/_layout.tsx","2491","moved","567-574 (predicate at 568, render at 571)","","if (activeProfile?.consentStatus === 'WITHDRAWN') {
    return (<FeedbackProvider><ConsentWithdrawnGate /></FeedbackProvider>);","File is only 771 lines, so claimed line 2491 is far past EOF. The withdrawal gate still exists with identical logic: a full-screen overlay (ConsentWithdrawnGate, imported at line 48) rendered when activeProfile?.consentStatus === 'WITHDRAWN'. Gate now lives at lines 567-574 (comment at 567, predicate at 568, render at 571). Logic/symbols unchanged from description — pure line-number drift. Associated finding F2."
"C4","apps/mobile/src/app/(app)/home.tsx","68,76-78,186","changed","isOwner derived at line 28; route branch at lines 161-169 (LearnerScreen render at 164-168). File is 194 lines.","","{navigationContract.home.screen === 'FamilyHome' ? (
  <ParentHomeScreen activeProfile={activeProfile} />) : (<LearnerScreen ... showParentHome={false} />)","The described gate's core claim — ""Always mounts <LearnerScreen> (route does not branch)"" — is now FALSE. The route DOES branch at line 161 on navigationContract.home.screen === 'FamilyHome', rendering <ParentHomeScreen> vs <LearnerScreen>. Symbols differ throughout: no 'mode'/'legacyMode' read exists (claimed line 68 is gone — file migrated to useNavigationContract() at line 21). isOwner still exists but now reads navigationContract.gates.sessionIsOwner at line 28, not 76-78 (line 76 now holds an unrelated ackNotice.mutate call). <LearnerScreen> is passed profiles, activeProfile, showParentHome={false} — NOT mode. Claimed line 186 is now inside an unrelated consent-notice toast. This is a contract-migration drift consistent with the V0→V1 navigation-contract refactor; F11 finding should be re-scoped. Status=changed (gate concept partially survives via the contract but logic, symbols, and the ""no-branch"" assertion all differ)."
"C5","apps/mobile/src/components/home/LearnerScreen.tsx","474-483","changed","492-493 (render decision); hasFamilyPlan derived 137-138","","if (showParentHome && navigationContract.gates.showFamilyHome) {
  return <ParentHomeScreen activeProfile={activeProfile} now={now} />;","The ParentHomeScreen-vs-learner-home branch still exists but its logic has been refactored to read through the navigation contract. It is now `if (showParentHome && navigationContract.gates.showFamilyHome)` at lines 492-493 — the raw predicate chain described (isOwner, mode, hasLinkedChildren, isFamilyPlanOwner) is gone, replaced by `navigationContract.gates.showFamilyHome`. The `isFamilyPlanOwner` derivation claimed at 474-475 no longer exists; the closest surviving analog is `hasFamilyPlan` (tier === 'family' || 'pro') at lines 137-138, used only for the family-setup CTA, not the home branch. The claimed lines 474-483 now hold unrelated loading-timeout JSX (a ""go to more"" Pressable, testID learner-loading-go-more). isParentProxy is now expressed via navigationProxy.active (line 146). File is 822 lines, so the claimed range is in-bounds but points at different code. Affects finding F11."
"C6","apps/mobile/src/app/(app)/more/index.tsx","40,66,112-118","changed","showAddChild gate: lines 58, 81; showRemoveFamilyMember/linkedChildren gate: lines 77-80 (isOwner used only in the filter at line 79)","","81: const showAddChild = navigationContract.gates.showAddChild;
78-79: navigationContract.gates.showRemoveFamilyMember && activeProfile ? profiles.filter((p) => p.id !== activeProfile.id && !p.isOwner)","Gate logic was rewritten to delegate to the navigation contract. The matrix described direct reads of role(40), subscription.tier(66), activeProfile.isOwner(112), and isAdultOwner({role,birthYear})(115-118). None of those predicates exist in the file anymore: no isAdultOwner, no birthYear, no role read, no direct activeProfile.isOwner gate. Both gated outcomes still exist but now read through useNavigationContract() (imported line 16, called line 40): showAddChild = navigationContract.gates.showAddChild (line 81, also used in handleAddChild at line 58), and the linked-children list for showRemoveFamilyMember is gated by navigationContract.gates.showRemoveFamilyMember (line 78). The only surviving isOwner reference is inside the linkedChildren filter at line 79 (excludes owners from the list), not a gating predicate. File is 294 lines, so claimed range 112-118 is in bounds but points at unrelated code. This is the navigation-contract migration target state per CLAUDE.md. Findings F5/F8 should be re-evaluated against resolveNavigationContract/useNavigationContract rather than this screen's local predicates."
"C7","apps/mobile/src/app/(app)/more/account.tsx","81-82,95-96","changed","showAccountSecurity gate at line 77; showBilling gate at line 93; both sourced from useNavigationContract() at line 31","","visible={navigationContract.gates.showAccountSecurity}
{navigationContract.gates.showBilling ? (","Both gates still exist but the logic changed: they no longer read activeProfile.isOwner or role==='owner' directly. Instead they are driven by navigationContract.gates (showAccountSecurity / showBilling) resolved via useNavigationContract() at line 31 — the contract-based migration described in CLAUDE.md / the navigation-contract spec. The only remaining 'isOwner' token (line 89) is in an explanatory comment about server-side billing enforcement, not a gate. The claimed lines 81-82 now hold the app-language SettingsRow (label/value), and 95-96 hold the subscription row's label/value — neither is the gate predicate. Associated finding F5. Re-cite to lines 77 and 93."
"C8","apps/mobile/src/app/(app)/more/accommodation.tsx","43-46","changed","45-48","","const canEditChildPreferences =
    isChildMode && navigationContract.gates.showAccommodationChildEditor && childProfile?.isOwner === false;","The canEditChildPreferences gate still exists and still drives the accommodation child editor, but it has both moved AND changed logic. It is now at lines 45-48 (claimed 43-46, which now lands on the childProfile lookup). More importantly the predicate no longer reads isOwner on BOTH activeProfile and childProfile (the old ""proxy-edit canonical"" check). It now reads (a) isChildMode (presence of childProfileId search param), (b) navigationContract.gates.showAccommodationChildEditor from useNavigationContract() — the gating moved into the navigation contract — and (c) only childProfile?.isOwner === false. activeProfile.isOwner is no longer part of this predicate; owner-side authority is delegated to the contract gate. Marked ""changed"" rather than ""moved"" because the symbols/logic differ from the description. F5 finding context (proxy-edit ownership) is now expressed through the navigation contract."
"C9","apps/mobile/src/app/(app)/more/celebrations.tsx","34-37","changed","36-39 (canEditChildPreferences); childProfile resolved at 33-35; useEffect redirect at 58-63","","const canEditChildPreferences = isChildMode && navigationContract.gates.showCelebrationsChildEditor && childProfile?.isOwner === false;","Gate still exists and still drives canEditChildPreferences -> child celebrations editor, so the F5 concern is live. But the LOGIC differs from the description in two ways: (1) it no longer reads isOwner on BOTH activeProfile AND childProfile — it only checks `childProfile?.isOwner === false`; activeProfile.isOwner is not part of the predicate. (2) A new navigation-contract gate `navigationContract.gates.showCelebrationsChildEditor` (via useNavigationContract, imported line 16) was added as the primary gate. The ""proxy-edit canonical (isOwner on both profiles)"" framing in the matrix is stale; the canonical edit-permission decision has moved into resolveNavigationContract. Claimed range 34-37 straddles the childProfile lookup (33-35) and the start of the predicate but misses the actual gating lines 38-39. A useEffect (58-63) also redirects out when !canEditChildPreferences."
"C10","apps/mobile/src/app/(app)/more/privacy.tsx","96,135,147","changed","Export Data row: gate def line 25, render 137-148. Delete Account row: same gate (line 25), render 149-155. Withdrawal-archive: gate def line 26, render 98. (File is 159 lines; claimed 135/147 still in range, 96 lands mid-export-handler.)","","const showOwnerPrivacyGates = navigationContract.gates.showExportDelete;
const showWithdrawalArchive = navigationContract.gates.showRemoveFamilyMember;","All three gates still exist but the predicate CHANGED from a direct `role==='owner'` check to reads via the navigation contract. Export Data (`more-row-export`) and Delete Account (`more-row-delete-account`) are both gated by `showOwnerPrivacyGates = navigationContract.gates.showExportDelete` (line 25), rendered at 137-148 and 149-155 respectively. The Withdrawal-archive block is gated by `showWithdrawalArchive = navigationContract.gates.showRemoveFamilyMember && linkedChildren.length > 0` (gate at 26, render at 98) — note it is now keyed to the remove-family-member gate, not an owner/role check. Claimed lines: 135/147 still fall within the file but no longer point at the gate conditions (those moved to 137/149); 96 now lands on a testID prop inside the ScrollView, not the withdrawal-archive gate. `role` and `consentStatus` no longer appear in this file. Affects findings F5/F7."
