"id","severity","verdict","claimedStatus","evidence","recommendation"
"F1","HIGH","holds","Server-side. Addressed by createScopedRepository(profileId) + parent-chain WHERE filters.","The IDOR is closed by a two-layer server-side defense in apps/api/src/routes/profiles.ts and services/profile.ts.

Route gate (profiles.ts:161-168, PATCH /profiles/:id):
```
const activeProfileId = c.get('profileId');
const profileMeta = c.get('profileMeta');
if (profileMeta?.isOwner !== true && id !== activeProfileId) {
  return apiError(c, 403, ERROR_CODES.FORBIDDEN,
    'Only the account owner can update other profiles.');
}
```
A non-owner can only edit their own profile (self-id), never a sibling. The same gate guards PATCH /profiles/:id/app-context (profiles.ts:118-125).

Service scoping (services/profile.ts:588-594, updateProfile):
```
.where(and(
  eq(profiles.id, profileId),
  eq(profiles.accountId, accountId),
  isNull(profiles.archivedAt),
))
```
The WHERE pins both profileId AND accountId, so even if the route gate were bypassed, a cross-account write returns null (-> 404). updateProfileAppContext (profile.ts:614-620) applies the same account-scoped filter plus an isOwner/age/family-link check.

Break tests exist (red-green regression, as required by the repo's ""security fixes require a break test"" rule):
- profiles.test.ts:502-542 [BREAK][CR-2026-05-19-H1] ""returns 403 when a non-owner edits a sibling profile"" — PATCH PROFILE_ID_B while active=PROFILE_ID_A (non-owner) asserts 403, code FORBIDDEN, and updateProfileMock NOT called.
- profiles.test.ts:674-699 same for the app-context route.
- profiles.test.ts:705+ positive companion: non-owner CAN update their own profile.","Keep status as Closed/Addressed (server-side), but correct the cited mechanism: the gap is closed by (a) a route-level isOwner + self-id gate in profiles.ts (CR-2026-05-19-H1) and (b) an accountId-scoped WHERE in updateProfile/updateProfileAppContext — NOT by createScopedRepository(profileId) or parent-chain joins (this is a single-table profiles write, not a parent-chain read). Suggested matrix wording: ""Closed server-side. PATCH /profiles/:id and /app-context: route gate rejects non-owner sibling edits (profiles.ts:161-168, 118-125); updateProfile WHERE pins accountId (profile.ts:588-594). Break tests: profiles.test.ts:502, 674."""
"F2","HIGH","holds","Different layer; full-screen overlay covers contract output. Folding in would require gates.requireConsent field + matrix rows per consent state.","The claim's substance is intact. Shell-level consent gates still intercept BEFORE the contract-driven tab tree renders, returning full-screen overlays: apps/mobile/src/app/(app)/_layout.tsx:556-565 `if (activeProfile?.consentStatus && PENDING_CONSENT_STATUSES.has(activeProfile.consentStatus)) { return (<FeedbackProvider><ConsentPendingGate /></FeedbackProvider>); }`, plus the WITHDRAWN gate at 568-574 (`if (activeProfile?.consentStatus === 'WITHDRAWN') ... <ConsentWithdrawnGate />`) and PostApprovalLanding at 577-583. The contract/navigationShell is only consumed AFTER these returns (line 585+, `navigationShell.proxy...`), confirming consent interception sits above contract output. Contract source has NO requireConsent dimension: NavigationGates (apps/mobile/src/lib/navigation-contract.ts:82-99) lists 17 gate fields, none for shell consent; the only consent field is `showMentorMemoryChildConsent` (line 95) — a CONTENT gate for the in-screen child-consent editor, not shell interception. Spec agrees: docs/specs/2026-05-21-navigation-contract.md:324 mentor-memory row says ""Content gates decide child consent editor"". PENDING_CONSENT_STATUSES extracted to _lib/consent-gate-helpers.ts:4-7 (Set of 'PENDING','PARENTAL_CONSENT_REQUESTED'). Only drift vs the audit: cited line numbers (1581/2491 — both past the 771-line EOF) and a predicate refactor from literal `=== 'PARENTAL_CONSENT_REQUESTED'` to set membership; neither changes F2's layer claim.","Keep F2 as-is (status holds: consent interception is a separate shell layer, not a contract dimension). Refresh the stale citations: C2 ConsentPendingGate gate now at _layout.tsx:556-565 (predicate uses PENDING_CONSENT_STATUSES.has(...) from _lib/consent-gate-helpers.ts:4-7, not literal ===); C3 ConsentWithdrawnGate at 567-574; note PostApprovalLanding at 577-583. Optionally add a one-line note that the predicate moved to set-membership via the extracted helper, so future readers don't grep for the old literal string."
"F3","TBD","holds","Addressed in spec but listed because earlier draft missed it.","The mentor-memory proxy redirect now reads through the navigation contract exactly as F3 describes — implemented in source, not just spec. apps/mobile/src/app/(app)/mentor-memory.tsx:248-253: `const blocked = FEATURE_FLAGS.MODE_NAV_V1_ENABLED ? !navigationContract.canEnter('mentor-memory') : navigationContract.isParentProxy;` then `if (blocked) return <Redirect href=""/(app)/home"" />;`. The contract backs this: navigation-contract.ts:177 lists `'mentor-memory'` in `LEARNING_ROUTES`, and `canEnter` (line 394) short-circuits on proxy at lines 396-398 (`if (context.isParentProxy) return route === 'home' || 'library' || 'progress'` — mentor-memory is none, so false), then for LEARNING_ROUTES returns `familyShape ? ownerRole : true` (line 413-414). The V1 branch uses the exact `canEnter('mentor-memory')` predicate the description names. The cited line 233 is stale (that line is now `handleBack`); the gate moved to 248-253. The V0-off fallback still routes through the contract object (`navigationContract.isParentProxy`), so the migration is genuine.","Keep F3 as a resolved/closed item, but upgrade the status note: it is no longer merely ""addressed in spec"" — the gate is shipped in source behind MODE_NAV_V1_ENABLED (mentor-memory.tsx:248-253) and fully defined in the contract (navigation-contract.ts:177, 394-414). Update the citation from line 233 to lines 248-253, and note the V0-off fallback path (navigationContract.isParentProxy) that preserves cold-deep-link behavior."
"F4","TBD","reserved-empty","reserved/empty","docs/compliance/audience-matrix.md:133 — `| F4 | TBD | (Reserved — re-derive from full audit.) | — |`. The row has placeholder title text, severity TBD, and an empty (`—`) ""Why outside contract"" column. It sits in the ""Outside navigation-contract scope"" section (line 126) alongside F13 (line 137) and F14 (line 138), which carry the identical ""(Reserved — re-derive from full audit.)"" placeholder. Line 147 confirms intent: ""For findings F1–F14, re-derive the F-numbering from a fresh adversarial audit — the IDs here are scaffolded."" No inventory rows are tagged to F4 (consistent with the audit's own note of no tagged rows). Other repo hits for ""F4"" (MOBILE-1 F4, PACKAGE-SCRIPTS-1 F4, UX-audit F4 ""I'm done button"", test-mocks F4) belong to separate audit docs with independent F-numbering and are not this matrix's F4.","Leave F4 as a reserved placeholder, or remove it. The matrix should keep it exactly as a scaffolded slot (TBD / reserved / no scope) until a fresh adversarial audit re-derives F1–F14 and assigns real content. No action beyond the existing re-verification checklist (line 147) is needed; if scaffolding is being cleaned up, F4/F13/F14 can be dropped together since none carry a finding."
"F5","LOW","holds","Closed by contract gates.show* fields (Phase 2 PRs 2-5).","The single source of truth F5 said was missing now exists. navigation-contract.ts:82-99 defines the NavigationGates interface (sessionIsOwner, showBilling, showAccountSecurity, showExportDelete, showAddChild, showRemoveFamilyMember, showAccommodationChildEditor, showCelebrationsChildEditor, showMentorMemoryChildConsent, etc.). All owner-content gates are computed from ONE predicate at navigation-contract.ts:363-380: `showBilling: ownerRole && !context.isParentProxy`, `showAccountSecurity: ownerRole && !context.isParentProxy`, `showExportDelete: ownerRole && !context.isParentProxy`, `sessionIsOwner: ownerRole && !context.isParentProxy`. All 8 cited consumer screens import useNavigationContract and read navigationContract.gates.* rather than branching on raw isOwner/role: more/index.tsx:81 (showAddChild), more/account.tsx:77,93 (showAccountSecurity, showBilling), more/privacy.tsx:25-26 (showExportDelete, showRemoveFamilyMember), subscription.tsx:130-131 (showBilling, showRemoveFamilyMember), mentor-memory.tsx:68 (sessionIsOwner), session/index.tsx:1193 (sessionIsOwner), accommodation.tsx:47 + celebrations.tsx:38 (child-editor gates). A forward-only ratchet test enforces this: navigation-contract-usage-guard.test.ts:707 (""does not introduce raw owner/proxy/mode gate sites outside terminal exceptions"") fails CI on new raw isOwner gate sites, emitting (L730) ""Use the navigation contract instead of new raw isOwner"". The few surviving isOwner tokens are explicitly categorized as `non-nav-domain-read` (e.g. more/index.tsx:79 filters owners out of the linked-children list; accommodation/celebrations read childProfile?.isOwner to classify the EDIT TARGET, not navigation ownership) — guard test comments at lines 255-295 justify each. The matrix's original concern (duplication across 13 sites, no single source of truth) is genuinely resolved.","Keep status ""Closed by contract gates.show* fields"" — verdict holds. Strengthen the matrix entry by (a) citing the enforcement mechanism: the forward-only ratchet navigation-contract-usage-guard.test.ts (raw owner/proxy/mode gate sites outside the terminal allowlist fail CI), which makes the closure regression-proof rather than point-in-time; and (b) flagging that the inventory's per-site line numbers have drifted across the board (C6 40/66/112-118 -> contract reads at 40/58/78-81; C7 81-82/95-96 -> 77/93; C8 43-46 -> 45-48; C9 34-37 -> 36-39; C11 1590 -> past-EOF, now 131/953; C16 366-372/410 -> 391-402/442/68; C27 1109 -> 1193). Re-cite all rows to the contract gate (navigation-contract.ts:363-380) plus the consumer's current line, since the local predicates the matrix described (isAdultOwner, personaFromBirthYear, raw role/activeProfile.isOwner gates) no longer exist in those screens."
"F6","LOW","holds","Closed; AST ratchet excludes object-literal property writes.","F6's substance is correct: the analytics `isOwner` read is NOT flagged as a UI gate, and the guard excludes the object-literal analytics writes — but the cited line numbers (649/653/661) are stale.

(1) The owner read is now a single consolidated declaration at apps/mobile/src/app/(app)/subscription.tsx:129 — `const isOwnerProfile = activeProfile?.isOwner === true;` — carrying a leading comment ""Account-identity fact: drives analytics and the child-paywall routing decision below."" It is emitted as the `is_owner` analytics property at line 137 (`breakdownAnalytics`) and line 145 (`track('subscription_breakdown_mounted', { is_owner: isOwnerProfile, ... })`).

(2) The claimed lines 649/653/661 now point at UNRELATED code — the ChildPaywall `quotaKind` daily-vs-monthly logic: line 648-654 `usage?.dailyLimit != null && usage?.dailyRemainingQuestions === 0 ? 'daily_exceeded' : 'monthly_exceeded'` and the `<ChildPaywall>` return block (655-661). No isOwner involved.

(3) The guard mechanism is apps/mobile/src/lib/navigation-contract-usage-guard.test.ts, not the spec's hypothetical `navigation-contract.guard.test.ts`. Its scanner (line 613-620) emits a `profile-owner-read` finding ONLY for `ts.isPropertyAccessExpression(node)` where `node.name.text === 'isOwner'` — i.e. `.isOwner` accesses. The analytics writes `is_owner: isOwnerProfile` are PropertyAssignment nodes referencing the LOCAL identifier `isOwnerProfile`, so they are NOT counted — exactly matching F6's ""AST ratchet excludes object-literal property writes"" claim.

(4) subscription.tsx has exactly 3 `.isOwner` property accesses (lines 129, 949 `{member.isOwner`, 953 `!member.isOwner`), matching the guard's pinned `expectedFindings: { 'profile-owner-read': 3 }` (test line 296) with reason ""subscription gates UI visibility through the contract, keeps one consolidated owner read for analytics/paywall/V0 fallback, and reads member.isOwner on family-pool rows."" subscription.tsx is in the `NON_NAV_DOMAIN_FILES` / `non-nav-domain-read` bucket — explicitly carved out as ""must NOT be migrated to the contract."" UI gating flows through navigationContract.gates.showBilling (line 130) / showRemoveFamilyMember (line 131), confirming the read is non-UI/analytics-only.","Keep F6 as Closed/no-op — the substance holds. Two corrections to the matrix text: (a) update the citation from `subscription.tsx:649, 653, 661` to `subscription.tsx:129` (the consolidated owner read) with analytics emission at lines 137 and 145 — the old lines drifted to unrelated ChildPaywall quotaKind code during a refactor. (b) Replace ""AST ratchet excludes object-literal property writes"" with the precise mechanism: the implemented guard is `navigation-contract-usage-guard.test.ts`, whose PropertyAccessExpression scanner only counts `.isOwner` member accesses (subscription.tsx pinned at 3, category non-nav-domain-read), so the `is_owner: isOwnerProfile` analytics writes are inherently never flagged. The spec's `navigation-contract.guard.test.ts` AST ratchet was never built under that name."
"F7","LOW","holds","Closed; either add gates.mentorMemoryOriginCopy or allowlist.","The site is a UX copy branch, not a visibility gate, exactly as F7 characterizes — and it now reads through the navigation contract. In apps/mobile/src/app/(app)/mentor-memory.tsx the accommodation badge (testID=""accommodation-badge"") is already rendered; inside it, lines 501-508 conditionally append a sub-Text:

  {!isOwnerSelf ? (
    <Text testID=""accommodation-set-by-parent"" ...>
      {t('session.mentorMemory.accommodation.setByParent')}
    </Text>
  ) : null}

`isOwnerSelf` is sourced from the contract at line 68: `const isOwnerSelf = navigationContract.gates.sessionIsOwner;` (useNavigationContract() at line 61). The gate is defined in apps/mobile/src/lib/navigation-contract.ts:364 — `sessionIsOwner: ownerRole && !context.isParentProxy`. The i18n key exists (src/i18n/locales/en.json:383 ""session.mentorMemory.accommodation.setByParent"": ""Set by your parent in their settings."") and is fully translated across locales. Branch toggles only a secondary attribution line within an already-visible badge — confirms ""copy branching, not visibility gate."" No raw `role==='owner'` check remains at this site. (The earlier moved line numbers 469→501 from C17 match.)","Keep ""Closed"". No dedicated `gates.mentorMemoryOriginCopy` was added, and none is needed: the copy branch reuses the existing contract gate `gates.sessionIsOwner` (allowlist-by-reuse), which satisfies the finding's ""either add a gate or allowlist"" resolution. Matrix should note the copy variation is keyed on contract gate `sessionIsOwner` (not an inline role check), with no separate origin-copy gate — this is intentional and acceptable for a copy-only branch."
"F8","LOW","holds","Closed by Phase 2 PR 4 decision: keep wrapper using contract for read-only checks, OR extract side effect into useApplyContractIntent().","F8's core claim — the finding is closed — holds; RequireFamilyContext is now a pure read-only guard with the setMode side effect removed. apps/mobile/src/components/guards/RequireFamilyContext.tsx:12-15 carries the explicit contract: ""[PARENT-03] RequireFamilyContext is a READ-ONLY route guard... It must NOT silently call setMode() or navigate the user — mode mutations require explicit user intent (pressing the CTA below)."" The gate is now pure-read via the navigation contract (line 45-49): `canRender = MODE_NAV_V1_ENABLED ? (route ? contract.canEnter(route, params) : contract.shape === 'family') : contract.effectiveAppContext === 'family'`. Mode entry is deferred to an explicit user CTA: `handleSwitchToFamily()` at line 63-77 calls `enterFamilyMode(...)` (imported from lib/use-mode-switch via useEnterFamilyMode, line 10/33) only on Pressable onPress (line 104). The originally-described mechanism is gone: `rg useGuardFamilyRoute apps/mobile/src` returns zero matches repo-wide (the hook that allegedly lived in navigation.ts:106 no longer exists; navigation.ts is now pure path/href helpers). `rg ""setMode\('family'\)""` returns only apps/mobile/src/app/profiles.tsx:187 (an explicit onboarding user flip, NOT a guard side effect) and test/comment references — no guard auto-mutates mode. This matches the C19 and C32 citation re-verification findings: the membership guard is confirmed-but-moved (RequireFamilyContext.tsx:19-49 wrapper in child/[profileId]/_layout.tsx) and the side-effect half is stale/eliminated.","Keep F8 as Closed, but update the resolution note: the codebase did not pick either option the claimed status named (it did NOT extract the side effect into useApplyContractIntent — no such hook exists). Instead it adopted a third, cleaner resolution under [PARENT-03]: RequireFamilyContext became a strictly read-only guard gating via the navigation contract (contract.canEnter / contract.shape / contract.effectiveAppContext), and the mode-flip side effect was removed entirely, deferred to an explicit user CTA via useEnterFamilyMode() (lib/use-mode-switch.ts:169). The useGuardFamilyRoute() hook and the navigation.ts:106 / RequireFamilyContext.tsx:45 setMode('family') call cited in the original finding no longer exist. Reword the status to: ""Closed — guard refactored to read-only under [PARENT-03]; setMode side effect removed, mode entry deferred to explicit CTA (useEnterFamilyMode)."""
"F9","TBD","partially-holds","Cross-cutting; do not add storage-backed mode persistence without re-reviewing the leak guarantee.","The leak-guarantee core of F9 holds. apps/mobile/src/lib/app-context.tsx has NO device-local mode persistence — the only ephemeral mode state is `modeOverride` (line 59: `useState<AppMode | null>(null)`), reset to null by the profile-change effect (lines 82-91: `setModeOverride(null)` keyed on activeProfile id/isOwner/birthYear/defaultAppContext/hasFamilyLinks). A grep for setItem/SecureStore in app-context.tsx returns nothing. signOutWithCleanup (apps/mobile/src/lib/sign-out.ts:86-147) clears the profile identity atomically before Clerk signOut: `setActiveProfileId(undefined)` (line 95), `queryClient.clear()` (line 108) wiping the `['profiles']` cache, plus `clearProfileSecureStorageOnSignOut(profileIds)` (line 121) wiping `mentomate_active_profile_id` (profile.ts:107). Since `activeProfile = profiles.find(p => p.id === activeProfileId)` (profile.ts:315-317), clearing both the cache and the saved id severs any cross-account carry-over of mode. BUT the F9 wording ""mode is React state only; not persisted"" is now stale under V1: derivedMode is computed from the server-persisted `activeProfile.defaultAppContext` (lines 73-75), and setMode persists the choice server-side via `updateAppContext.mutate({ defaultAppContext: nextMode })` (lines 115-119). So mode IS persisted — just profile-scoped on the server, not device-local — and that persistence is covered by the same cleanup (the profile cache is wiped on sign-out). C29/C30 line drifts confirmed: modeOverride at 59 (not 52), reset effect at 82-91 (not 74-84) with an extended dep array.","Keep F9 open as a cross-cutting guardrail, but correct the wording. Replace ""mode is React state only; not persisted"" with: ""the mode OVERRIDE is React-state-only (app-context.tsx:59, reset on profile change at 82-91); the baseline mode persists server-side as profiles.defaultAppContext (V1), not device-local. Cross-account leak risk is mitigated because signOutWithCleanup (sign-out.ts:95,108,121) clears activeProfileId + the profiles cache + the saved-id SecureStore key atomically before Clerk signOut."" Retain the actionable note: do not add DEVICE-LOCAL (SecureStore/AsyncStorage) mode persistence without re-reviewing this guarantee — server-scoped persistence is already in place and safe. Update C29 cite to line 59 (final mode useMemo 93-97) and C30 cite to lines 82-91."
"F10","TBD","holds","Product/billing decision, not navigation.","F10's substance holds: the nav contract treats Pro identically to Family at the navigation layer, and Pro/Family divergence is a product/billing decision realized outside navigation.

1) navigation-contract.ts carries tier as an INPUT but never branches pro-vs-family. NavigationSubscriptionContext (apps/mobile/src/lib/navigation-contract.ts:65-70) has `tier: SubscriptionTier | null` and `effectiveAccessTier: SubscriptionTier | null` (SubscriptionTier includes 'pro'), so the dimension is present/forward-compatible. But the only consumption in the contract body is access-PRESENCE, not tier IDENTITY:
- L220-221: `if (context.subscription.status !== 'ready') return false; return context.subscription.effectiveAccessTier !== null;`
- L260: `const subscriptionReady = context.subscription.status === 'ready';`
No `=== 'pro'` / `=== 'family'` discrimination exists anywhere in the contract's gate/shape/intent logic. Shape/intent keys off `familyCapable` / `appContext === 'family'` / `defaultAppContext` (L256, L303-317), never tier identity => Pro and Family produce identical navigation output. Matches F10's 'Contract forward-compatible; product divergence would require a tier dimension.'

2) The Pro==Family-for-nav divergence that DOES exist is in subscription/billing UI, not navigation. BUG-899 rule (only Free/Plus surfaced as upgrade options; Family/Pro hidden from public upsell) lives in apps/mobile/src/app/(app)/_subscription/constants.ts:6-16 (""BUG-899: Only Free and Plus are surfaced to end-users. Family/Pro tiers exist server-side but their store SKUs are not approved for public listing"") plus BUG-917 read-only append (constants.ts:26-47, tier-helpers getTiersToCompare). The `tier === 'family' || tier === 'pro'` predicate at more/index.tsx:45-46 and subscription.tsx:121 only gates `useFamilySubscription()` hook enablement (a billing data fetch), not a nav gate. So Pro/Family identity matters only on the billing surface. Confirms 'Product/billing decision, not navigation.'

3) Spec corroboration: docs/specs/2026-05-21-navigation-contract.md:136 declares contract input `tier: 'free' | 'plus' | 'family' | 'pro' | null` — tier dimension is in the type but the spec assigns it no nav-divergent semantics; family surfaces are capability-driven, not tier-driven.

CITATION DRIFT (does not change verdict): C12 inventory row's described entity — a BUG-899 doc block at subscription.tsx:70-77 — is gone from that location (grep 'BUG-899' returns zero hits in subscription.tsx; L70-77 are now imports + an unrelated SubscriptionContent/ChildPaywall JSDoc). The BUG-899 doc relocated to _subscription/constants.ts:6-31. The 'actual gate' pointer more/index.tsx:71 drifted to more/index.tsx:45-46 / subscription.tsx:121, and that predicate gates hook-enable, not an upgrade-UI tier filter (which lives in constants.ts/tier-helpers.ts). These are inventory-row pointer rots, not a change to F10's product-vs-navigation conclusion.","Keep F10 status as ""Product/billing decision, not navigation."" — it holds. Verified: navigation-contract.ts (apps/mobile/src/lib/navigation-contract.ts:65-70, 220-221, 260) carries tier/effectiveAccessTier as input but never discriminates pro-vs-family; gates key off effectiveAccessTier-presence and familyCapable only. The Pro==Family divergence is confined to subscription/billing UI (BUG-899/BUG-917). Fix the C12 inventory row's stale citations: move the BUG-899 doc-block reference from subscription.tsx:70-77 to apps/mobile/src/app/(app)/_subscription/constants.ts:6-16 (BUG-917 append at :26-47 / tier-helpers getTiersToCompare), and correct the tier-predicate pointer from more/index.tsx:71 to more/index.tsx:45-46 + subscription.tsx:121, noting it gates useFamilySubscription() enablement (billing fetch), not an upgrade-UI filter. Set severity Informational/Low (tracking note for a future tier dimension; no nav bug today)."
